State;Sq Miles
 Alaska;665384
 Texas;268596
 California;163694
 Montana;147039
 New Mexico;12159
 Arizona;11399
 Nevada;110571
 Colorado;104093
 Oregon;98378
 Wyoming;97813
 Michigan;96713
 Minnesota;86935
 Utah;84896
 Idaho;83569
 Kansas;82278
 Nebraska;77347
 South Dakota;77115
 Washington;71298
 North Dakota;70698
 Oklahoma;69898
 Missouri;69707
 Florida;65757
 Wisconsin;65496
 Georgia;59425
 Illinois;57913
 Iowa;56272
 New York;54555
 North Carolina;53819
 Arkansas;53178
 Alabama;5242
 Louisiana;52378
 Mississippi;48431
 Pennsylvania;46054
 Ohio;44825
 Virginia;42774
 Tennessee;42144
 Kentucky;40407
 Indiana;36419
 Maine;35379
 South Carolina;3202
 West Virginia;2423
 Maryland;12405
 Hawaii;10931
 Massachusetts;10554
 Vermont;9616
 New Hampshire;9349
 New Jersey;8722
 Connecticut;5543
 Delaware;2488
 Rhode Island;1544
